"Местное время в Маче";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"14.02.2019 15:00";"-11.9";"751.2";"767.4";"";"55";"Ветер, дующий с северо-северо-запада";"2";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.";"20–30%.";"600-1000";"Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).";"Перистые плотные, образовавшиеся от кучево-дождевых.";"50.0";"-19.1";"";"";"";"";"";""
"14.02.2019 09:00";"-14.7";"751.0";"767.4";"";"80";"Ветер, дующий с западо-северо-запада";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-14.8";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"4.0";"-17.4";"0.7";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"30.0"
"14.02.2019 06:00";"-13.7";"750.7";"767.0";"";"4";"Ветер, дующий с северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-47.5";"";"";"";"";"";""
"14.02.2019 03:00";"-12.5";"750.4";"766.7";"";"30";"Ветер, дующий с западо-северо-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"";"";"";"";"";"";"-26.5";"";"";"";"";"";""
"13.02.2019 21:00";"-12.0";"750.3";"766.4";"";"25";"Ветер, дующий с запада";"2";"";"";"90  или более, но не 100%";"Состояние неба в общем не изменилось. ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-10.4";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-28.1";"Осадков нет";"12";"";"";"";""
"13.02.2019 18:00";"-11.6";"750.1";"766.3";"";"30";"Ветер, дующий с западо-юго-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-25.9";"";"";"";"";"";""
"13.02.2019 15:00";"-11.1";"750.2";"766.4";"";"25";"Ветер, дующий с западо-юго-запада";"3";"";"10";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"50.0";"-27.3";"";"";"";"";"";""
"13.02.2019 12:00";"-13.7";"750.9";"767.2";"";"4";"Ветер, дующий с северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-47.4";"";"";"";"";"";""
"13.02.2019 09:00";"-13.6";"751.9";"768.2";"";"25";"Ветер, дующий с запада";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"50.0";"-29.5";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"30.0"
"13.02.2019 06:00";"-13.3";"752.5";"768.8";"";"73";"Ветер, дующий с запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-17.1";"";"";"";"";"";""
"13.02.2019 03:00";"-13.8";"753.6";"770.0";"";"4";"Ветер, дующий с запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-47.5";"";"";"";"";"";""
"12.02.2019 21:00";"-14.0";"754.9";"771.4";"";"30";"Ветер, дующий с запада";"3";"";"";"40%.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Метель";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"-11.5";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-27.9";"Осадков нет";"12";"";"";"";""
"12.02.2019 18:00";"-12.7";"755.3";"771.7";"";"72";"Ветер, дующий с запада";"3";"";"10";"";" ";"";"";"";"";"";"";"";"";"";"";"-16.7";"";"";"";"";"";""
"12.02.2019 15:00";"-12.6";"755.7";"772.1";"";"30";"Ветер, дующий с западо-юго-запада";"4";"";"10";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Метель";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"40%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"50.0";"-26.6";"";"";"";"";"";""
"12.02.2019 12:00";"-14.4";"756.7";"773.2";"";"75";"Ветер, дующий с запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-17.9";"";"";"";"";"";""
"12.02.2019 09:00";"-15.0";"757.0";"773.6";"";"35";"Ветер, дующий с западо-юго-запада";"4";"";"";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"-24.1";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"50.0";"-27.1";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"30.0"
"12.02.2019 03:00";"-19.6";"758.5";"775.3";"";"84";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-21.7";"";"";"";"";"";""
"11.02.2019 21:00";"-21.3";"758.7";"775.7";"";"75";"Ветер, дующий с западо-северо-запада";"1";"";"";"20–30%.";" ";"";"";"";"-16.2";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-24.6";"Осадков нет";"12";"";"";"";""
"11.02.2019 18:00";"-17.3";"759.1";"775.9";"";"79";"Ветер, дующий с северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-20.1";"";"";"";"";"";""
"11.02.2019 15:00";"-17.0";"758.9";"775.6";"";"55";"Ветер, дующий с северо-запада";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"90  или более, но не 100%";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-23.9";"";"";"";"";"";""
"11.02.2019 12:00";"-21.5";"760.0";"777.0";"";"87";"Ветер, дующий с западо-северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-23.1";"";"";"";"";"";""
"11.02.2019 09:00";"-15.0";"757.0";"773.6";"";"35";"Ветер, дующий с западо-юго-запада";"4";"";"";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"-24.1";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"50.0";"-27.1";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"30.0"
"11.02.2019 03:00";"-32.7";"760.9";"778.8";"";"41";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-41.4";"";"";"";"";"";""
"10.02.2019 21:00";"-24.8";"761.9";"779.2";"";"70";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"-18.9";"";"";"";"";"";"50.0";"-28.7";"Осадков нет";"12";"";"";"";""
"10.02.2019 15:00";"-19.5";"762.3";"779.2";"";"55";"Ветер, дующий с северо-запада";"4";"";"";"60%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-26.3";"";"";"";"";"";""
"10.02.2019 12:00";"-22.0";"763.6";"780.7";"";"4";"Ветер, дующий с северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-53.5";"";"";"";"";"";""
"10.02.2019 09:00";"-22.0";"762.7";"779.8";"";"65";"Ветер, дующий с северо-северо-запада";"3";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-24.3";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"50%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"50.0";"-26.9";"0.3";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"30.0"
"10.02.2019 06:00";"-23.7";"763.0";"780.3";"";"91";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-24.8";"";"";"";"";"";""
"10.02.2019 03:00";"-23.2";"763.3";"780.6";"";"90";"Ветер, дующий с северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-24.4";"";"";"";"";"";""
"09.02.2019 21:00";"-22.4";"762.4";"779.5";"";"65";"Ветер, дующий с северо-запада";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"-20.5";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"";"10.0";"-27.2";"Следы осадков";"12";"";"";"";""
"09.02.2019 18:00";"-21.5";"763.2";"780.4";"";"4";"Ветер, дующий с северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-53.1";"";"";"";"";"";""
"09.02.2019 15:00";"-21.4";"763.3";"780.4";"";"65";"Ветер, дующий с северо-северо-запада";"4";"";"";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистые когтевидные или нитевидные или первые и вторые, распространяющиеся по небу и в целом обычно уплотняющиеся.";"50.0";"-26.2";"";"";"";"";"";""
"09.02.2019 12:00";"-22.1";"763.6";"780.8";"";"88";"Ветер, дующий с северо-запада";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-23.6";"";"";"";"";"";""
"09.02.2019 09:00";"-22.4";"762.4";"779.5";"";"65";"Ветер, дующий с северо-запада";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"-20.5";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"";"10.0";"-27.2";"Следы осадков";"12";"";"";"";""
"09.02.2019 06:00";"-21.9";"762.6";"779.8";"";"4";"Ветер, дующий с западо-северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-53.4";"";"";"";"";"";""
"09.02.2019 03:00";"-22.2";"762.7";"779.8";"";"88";"Ветер, дующий с северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-23.6";"";"";"";"";"";""
"08.02.2019 21:00";"-21.0";"762.1";"779.1";"";"80";"Ветер, дующий с северо-запада";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"-18.6";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"4.0";"-23.5";"0.4";"12";"";"";"";""
"08.02.2019 18:00";"-22.2";"762.1";"779.3";"";"4";"Ветер, дующий с западо-северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-53.7";"";"";"";"";"";""
"08.02.2019 15:00";"-19.8";"761.7";"778.7";"";"65";"Ветер, дующий с северо-запада";"5";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"";"4.0";"-24.7";"";"";"";"";"";""
"08.02.2019 12:00";"-21.8";"762.5";"779.7";"";"4";"Ветер, дующий с северо-северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-53.4";"";"";"";"";"";""
"08.02.2019 09:00";"-24.7";"762.3";"779.6";"";"75";"Ветер, дующий с северо-северо-запада";"1";"";"";"20–30%.";" ";"";"";"-25.4";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"20–30%.";"2500 или более, или облаков нет.";"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"50.0";"-27.9";"Следы осадков";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"30.0"
"08.02.2019 06:00";"-21.9";"762.4";"779.6";"";"3";"Ветер, дующий с северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-53.5";"";"";"";"";"";""
"08.02.2019 03:00";"-21.8";"762.7";"779.8";"";"34";"Ветер, дующий с северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-33.4";"";"";"";"";"";""
"07.02.2019 21:00";"-18.9";"761.7";"778.6";"";"70";"Ветер, дующий с северо-запада";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-17.5";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"";"4.0";"-23.0";"0.2";"12";"";"";"";""
"07.02.2019 15:00";"-19.5";"761.3";"778.3";"";"65";"Ветер, дующий с северо-запада";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"";"10.0";"-24.4";"";"";"";"";"";""
"07.02.2019 09:00";"-23.0";"760.4";"777.6";"";"74";"Ветер, дующий с северо-запада";"4";"";"";"100%.";"Слабый или умеренный поземок в целом низкий (ниже уровня глаз наблюдателя). ";"Снег и/или другие виды твердых осадков";"Метель";"-24.2";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"20.0";"-26.3";"2.0";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"31.0"
"07.02.2019 06:00";"-24.1";"760.0";"777.3";"";"3";"Ветер, дующий с северо-северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-55.1";"";"";"";"";"";""
"07.02.2019 03:00";"-24.1";"760.0";"777.2";"";"35";"Ветер, дующий с северо-запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-35.1";"";"";"";"";"";""
"06.02.2019 21:00";"-24.3";"758.6";"775.8";"";"75";"Ветер, дующий с северо-северо-запада";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"-22.1";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.";"";"4.0";"-27.5";"1.0";"12";"";"";"";""
"06.02.2019 15:00";"-24.2";"757.5";"774.7";"";"75";"Ветер, дующий с северо-северо-запада";"5";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"";"4.0";"-27.4";"";"";"";"";"";""
"06.02.2019 09:00";"-26.8";"757.3";"774.7";"";"74";"Ветер, дующий с северо-запада";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Снег и/или другие виды твердых осадков";"-31.6";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"";"4.0";"-30.0";"0.7";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"28.0"
"06.02.2019 03:00";"-28.2";"757.1";"774.6";"";"";"Ветер, дующий с северо-северо-запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"05.02.2019 21:00";"-31.3";"756.7";"774.4";"";"64";"Ветер, дующий с запада";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"";"-29.0";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"";"4.0";"-35.8";"0.5";"12";"";"";"";""
"05.02.2019 18:00";"-30.4";"756.5";"774.1";"";"3";"Ветер, дующий с северо-запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-59.7";"";"";"";"";"";""
"05.02.2019 15:00";"-30.0";"";"";"";"65";"Ветер, дующий с северо-запада";"5";"";"";"100%.";" ";"";"";"";"";"";"";"2500 или более, или облаков нет.";"";"";"4.0";"-34.5";"";"";"";"";"";""
"05.02.2019 12:00";"-31.5";"755.5";"773.1";"";"40";"Ветер, дующий с северо-запада";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-40.5";"";"";"";"";"";""
"05.02.2019 09:00";"-31.1";"754.9";"772.5";"";"65";"Ветер, дующий с западо-северо-запада";"3";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Метель";"-39.4";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые просвечивающие.";"";"4.0";"-35.5";"0.4";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"27.0"
"05.02.2019 06:00";"-31.3";"755.2";"772.9";"";"40";"Ветер, дующий с северо-запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-40.4";"";"";"";"";"";""
"05.02.2019 03:00";"-31.3";"755.4";"773.0";"";"40";"Ветер, дующий с северо-запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-40.4";"";"";"";"";"";""
"04.02.2019 21:00";"-38.7";"756.1";"774.3";"";"70";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"-38.0";"";"";"";"";"";"4.0";"-42.0";"Осадков нет";"12";"";"";"";""
"04.02.2019 18:00";"-38.1";"756.2";"774.4";"";"3";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-65.5";"";"";"";"";"";""
"04.02.2019 15:00";"-38.0";"755.9";"774.1";"";"68";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-41.6";"";"";"";"";"";""
"04.02.2019 12:00";"-45.9";"756.4";"775.2";"";"52";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-51.4";"";"";"";"";"";""
"04.02.2019 09:00";"-49.0";"755.8";"774.6";"";"66";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"-49.0";"";"";"";"";"";"4.0";"-52.4";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"29.0"
"04.02.2019 03:00";"-47.7";"755.2";"774.2";"";"55";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-52.7";"";"";"";"";"";""
"03.02.2019 21:00";"-40.8";"755.1";"773.2";"";"68";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"-36.2";"";"";"";"";"";"4.0";"-44.4";"Следы осадков";"12";"";"";"";""
"03.02.2019 15:00";"-36.2";"756.4";"774.4";"";"75";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Облака в целом рассеиваются или становятся менее развитыми. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"";"";"";"";"";"";"";"50.0";"-39.0";"";"";"";"";"";""
"03.02.2019 09:00";"-43.7";"758.5";"777.1";"";"70";"Штиль, безветрие";"0";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.";"-45.3";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"10.0";"-46.9";"Следы осадков";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"29.0"
"03.02.2019 06:00";"-44.5";"759.7";"778.5";"";"51";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-50.3";"";"";"";"";"";""
"03.02.2019 03:00";"-45.1";"760.3";"779.2";"";"51";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-50.8";"";"";"";"";"";""
"02.02.2019 21:00";"-42.7";"760.3";"778.8";"";"68";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"-37.9";"";"";"";"";"";"4.0";"-46.2";"Осадков нет";"12";"";"";"";""
"02.02.2019 18:00";"-39.5";"760.0";"778.5";"";"46";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-46.5";"";"";"";"";"";""
"02.02.2019 15:00";"-37.9";"759.4";"777.7";"";"68";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-41.6";"";"";"";"";"";""
"02.02.2019 12:00";"-43.9";"759.7";"778.4";"";"51";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-49.8";"";"";"";"";"";""
"02.02.2019 09:00";"-46.9";"758.6";"777.3";"";"68";"Штиль, безветрие";"0";"";"";"Облаков нет.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"-47.2";"";"";"";"";"";"";"4.0";"-50.2";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"29.0"
"02.02.2019 06:00";"-46.5";"757.8";"776.7";"";"3";"Ветер, дующий с северо-северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-71.8";"";"";"";"";"";""
"02.02.2019 03:00";"-45.7";"756.5";"775.3";"";"52";"Ветер, дующий с северо-северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-51.2";"";"";"";"";"";""
"01.02.2019 21:00";"-41.5";"752.8";"771.0";"";"68";"Ветер, дующий с западо-северо-запада";"1";"";"";"Облаков нет.";"Дымка. ";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"Облака покрывали половину неба или менее в течение всего соответствующего периода.";"";"-41.5";"";"";"";"";"";"50.0";"-45.0";"Осадков нет";"12";"";"";"";""
"01.02.2019 18:00";"-41.0";"751.5";"769.8";"";"3";"Ветер, дующий с северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-67.6";"";"";"";"";"";""
